trial,preprocess,pca_dim,model,params_json,mean_cv_accuracy,std_cv_accuracy,cv_folds_used
0,raw,,logistic,"{""C"": 0.01}",0.8755000000000001,0.012389511693363848,5
0,raw,,logistic,"{""C"": 0.1}",0.8885,0.008746427842267928,5
0,raw,,logistic,"{""C"": 1.0}",0.8854999999999998,0.003674234614174767,5
0,raw,,logistic,"{""C"": 10.0}",0.8815,0.00339116499156266,5
0,raw,,logistic,"{""C"": 100.0}",0.8785000000000001,0.0053851648071345,5
0,raw,,linear_svm,"{""C"": 0.01}",0.8870000000000001,0.01354621718414407,5
0,raw,,linear_svm,"{""C"": 0.1}",0.8725000000000002,0.00474341649025255,5
0,raw,,linear_svm,"{""C"": 1.0}",0.8494999999999999,0.010416333327999865,5
0,raw,,linear_svm,"{""C"": 10.0}",0.8399999999999999,0.0112915897906362,5
0,raw,,linear_svm,"{""C"": 100.0}",0.8385,0.009823441352194238,5
0,raw,,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.9099999999999999,0.017392527130926098,5
0,raw,,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.9099999999999999,0.017392527130926098,5
0,raw,,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.909,0.010559356040971428,5
0,raw,,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9165000000000001,0.013190905958272929,5
0,raw,,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.906,0.017219175357722587,5
0,raw,,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9109999999999999,0.013838352503098042,5
0,raw,,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9004999999999999,0.016688319268278646,5
0,raw,,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.9065,0.011895377253370346,5
0,raw,,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8939999999999999,0.019209372712298525,5
0,raw,,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.9004999999999999,0.01576388277043447,5
0,standard,,logistic,"{""C"": 0.01}",0.8825,0.015572411502397437,5
0,standard,,logistic,"{""C"": 0.1}",0.8869999999999999,0.011113055385446423,5
0,standard,,logistic,"{""C"": 1.0}",0.8879999999999999,0.011979148550710932,5
0,standard,,logistic,"{""C"": 10.0}",0.889,0.012509996003196805,5
0,standard,,logistic,"{""C"": 100.0}",0.8880000000000001,0.010416333327999822,5
0,standard,,linear_svm,"{""C"": 0.01}",0.8404999999999999,0.012389511693363898,5
0,standard,,linear_svm,"{""C"": 0.1}",0.8164999999999999,0.006041522986797264,5
0,standard,,linear_svm,"{""C"": 1.0}",0.7975,0.01414213562373094,5
0,standard,,linear_svm,"{""C"": 10.0}",0.7859999999999999,0.012103718436910198,5
0,standard,,linear_svm,"{""C"": 100.0}",0.7859999999999999,0.01640121946685673,5
0,standard,,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.8560000000000001,0.01365650028374769,5
0,standard,,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.8560000000000001,0.01365650028374769,5
0,standard,,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.8540000000000001,0.012708265027138869,5
0,standard,,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.86,0.015732132722552274,5
0,standard,,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.8530000000000001,0.010770329614269032,5
0,standard,,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.861,0.017073371078963864,5
