config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy
minmax|knn|none,minmax,knn,,0.0,0.9215,0.005656854249492385
minmax|knn|none,minmax,knn,,0.1,0.8965000000000001,0.032526911934581175
minmax|knn|none,minmax,knn,,0.2,0.82225,0.13965358928434315
minmax|knn|none,minmax,knn,,0.3,0.7305,0.24536605307173198
minmax|knn|none,minmax,knn,,0.4,0.67675,0.3178444981433531
minmax|linear_svm|none,minmax,linear_svm,,0.0,0.8867499999999999,0.0045961940777125634
minmax|linear_svm|none,minmax,linear_svm,,0.1,0.88425,0.006717514421272247
minmax|linear_svm|none,minmax,linear_svm,,0.2,0.867,0.017677669529663625
minmax|linear_svm|none,minmax,linear_svm,,0.3,0.8285,0.02192031021678303
minmax|linear_svm|none,minmax,linear_svm,,0.4,0.743,0.02050609665440982
minmax|logistic|none,minmax,logistic,,0.0,0.88975,0.006717514421272207
minmax|logistic|none,minmax,logistic,,0.1,0.8867499999999999,0.010253048327204948
minmax|logistic|none,minmax,logistic,,0.2,0.87575,0.008838834764831813
minmax|logistic|none,minmax,logistic,,0.3,0.81575,0.03288046532517445
minmax|logistic|none,minmax,logistic,,0.4,0.71675,0.04914392129246498
pca|knn|128,pca,knn,128.0,0.0,0.9237500000000001,0.006010407640085738
pca|knn|128,pca,knn,128.0,0.1,0.92425,0.00954594154601844
pca|knn|128,pca,knn,128.0,0.2,0.923,0.008485281374238578
pca|knn|128,pca,knn,128.0,0.3,0.9175,0.005656854249492385
pca|knn|128,pca,knn,128.0,0.4,0.91475,0.014495689014324237
pca|knn|16,pca,knn,16.0,0.0,0.92325,0.0031819805153394274
pca|knn|16,pca,knn,16.0,0.1,0.9215,0.004949747468305798
pca|knn|16,pca,knn,16.0,0.2,0.9177500000000001,0.006010407640085738
pca|knn|16,pca,knn,16.0,0.3,0.89575,0.006717514421272207
pca|knn|16,pca,knn,16.0,0.4,0.86775,0.0045961940777125235
pca|knn|256,pca,knn,256.0,0.0,0.9235,0.004949747468305798
pca|knn|256,pca,knn,256.0,0.1,0.921,0.006363961030678973
pca|knn|256,pca,knn,256.0,0.2,0.9245000000000001,0.009192388155425165
pca|knn|256,pca,knn,256.0,0.3,0.913,0.00353553390593278
pca|knn|256,pca,knn,256.0,0.4,0.9115,0.007778174593051991
pca|knn|32,pca,knn,32.0,0.0,0.9325,0.005656854249492385
pca|knn|32,pca,knn,32.0,0.1,0.93325,0.00601040764008562
pca|knn|32,pca,knn,32.0,0.2,0.9357500000000001,0.0010606601717798223
pca|knn|32,pca,knn,32.0,0.3,0.9315,0.0014142135623730963
pca|knn|32,pca,knn,32.0,0.4,0.9259999999999999,0.002121320343559605
pca|knn|512,pca,knn,512.0,0.0,0.9219999999999999,0.004949747468305798
pca|knn|512,pca,knn,512.0,0.1,0.9197500000000001,0.006010407640085738
pca|knn|512,pca,knn,512.0,0.2,0.92275,0.008838834764831853
pca|knn|512,pca,knn,512.0,0.3,0.9105000000000001,0.0021213203435596836
pca|knn|512,pca,knn,512.0,0.4,0.9119999999999999,0.007778174593051991
pca|knn|64,pca,knn,64.0,0.0,0.9297500000000001,0.003181980515339545
pca|knn|64,pca,knn,64.0,0.1,0.93025,0.00601040764008562
pca|knn|64,pca,knn,64.0,0.2,0.9297500000000001,0.0045961940777126415
pca|knn|64,pca,knn,64.0,0.3,0.91925,0.007424621202458717
pca|knn|64,pca,knn,64.0,0.4,0.91875,0.015202795795510706
pca|linear_svm|128,pca,linear_svm,128.0,0.0,0.8745,0.005656854249492346
pca|linear_svm|128,pca,linear_svm,128.0,0.1,0.874,0.009899494936611674
pca|linear_svm|128,pca,linear_svm,128.0,0.2,0.8627499999999999,0.018031222920256898
pca|linear_svm|128,pca,linear_svm,128.0,0.3,0.82325,0.038537319574666835
pca|linear_svm|128,pca,linear_svm,128.0,0.4,0.7495,0.08273149339882617
pca|linear_svm|16,pca,linear_svm,16.0,0.0,0.8274999999999999,0.010606601717798184
pca|linear_svm|16,pca,linear_svm,16.0,0.1,0.8282499999999999,0.007424621202458756
pca|linear_svm|16,pca,linear_svm,16.0,0.2,0.79775,0.01661700935788388
pca|linear_svm|16,pca,linear_svm,16.0,0.3,0.74325,0.03641599923110723
pca|linear_svm|16,pca,linear_svm,16.0,0.4,0.688,0.0014142135623729786
pca|linear_svm|256,pca,linear_svm,256.0,0.0,0.87575,0.0031819805153394274
pca|linear_svm|256,pca,linear_svm,256.0,0.1,0.8752500000000001,0.008131727983645304
pca|linear_svm|256,pca,linear_svm,256.0,0.2,0.87025,0.005303300858899033
pca|linear_svm|256,pca,linear_svm,256.0,0.3,0.8440000000000001,0.0007071067811865089
pca|linear_svm|256,pca,linear_svm,256.0,0.4,0.78575,0.014495689014324315
pca|linear_svm|32,pca,linear_svm,32.0,0.0,0.86875,0.001767766952966331
pca|linear_svm|32,pca,linear_svm,32.0,0.1,0.8692500000000001,0.003889087296526015
pca|linear_svm|32,pca,linear_svm,32.0,0.2,0.85825,0.0010606601717798223
pca|linear_svm|32,pca,linear_svm,32.0,0.3,0.825,0.007071067811865481
pca|linear_svm|32,pca,linear_svm,32.0,0.4,0.77075,0.016617009357883804
pca|linear_svm|512,pca,linear_svm,512.0,0.0,0.87575,0.0031819805153394274
pca|linear_svm|512,pca,linear_svm,512.0,0.1,0.8765000000000001,0.007071067811865442
pca|linear_svm|512,pca,linear_svm,512.0,0.2,0.8652500000000001,0.006010407640085738
pca|linear_svm|512,pca,linear_svm,512.0,0.3,0.84,0.0028284271247461927
pca|linear_svm|512,pca,linear_svm,512.0,0.4,0.7717499999999999,0.010960155108391496
pca|linear_svm|64,pca,linear_svm,64.0,0.0,0.881,0.007071067811865481
pca|linear_svm|64,pca,linear_svm,64.0,0.1,0.87575,0.008838834764831813
pca|linear_svm|64,pca,linear_svm,64.0,0.2,0.8595,0.007071067811865481
pca|linear_svm|64,pca,linear_svm,64.0,0.3,0.825,0.012727922061357866
pca|linear_svm|64,pca,linear_svm,64.0,0.4,0.74725,0.018738329701443488
